content,question,answer
"New School Building in Dillon, South Carolina on the Drawing Board Thanks to a udent’s Letter to President Obama  When 15 year Ty’Sheoma Bethea, formerly a student in Dillon, South Carolina, wrote to President Obama about the condition of her school, It set off a chain of events that led, last Friday, to a celebration in Dillon marking the unveiling of plans for a new J.V. Martin Junior High School.  A combination of loans and grants from USDA Rural Development will enable the district to replace the old school.  Posted in  Rural  Mar 02, 2010  2 Responses",What specific initiative or event triggered the unveiling of plans for a new J.V. Martin Junior High School?,A student's letter to President Obama about the condition of her school triggered the events leading to the unveiling of plans for a new J.V. Martin Junior High School.
"Contact:Public Affairs PA@usda.gov WASHINGTON, Aug. 22, 2024—The U.S. Department of Agriculture today announced over $513,000 in funding awarded to Indiana through the Specialty Crop Block Grant Program (SCBGP). Through this program, the Indiana State Department of Agriculture (ISDA) will fund projects that strengthen Indiana’s specialty crop industry through marketing, education, and research.“We are happy to once again be partnered with Indiana on the Specialty Crop Block Grant Program,” said USDA Under Secretary for Marketing and Regulatory Programs Jenny Lester Moffitt. “The innovative projects funded through this program will strengthen U.S. specialty crop production and markets and ensure Americans have sustained access to fresh, locally grown fruits, vegetables, and other specialty crops and support the region’s specialty crop growers to help ensure their long-term success.”Through the Specialty Crop Block Grant Program, ISDA will fund three projects. Among ISDA’s projects, is funding to Purdue Extension to conduct outreach and education to assist specialty crop growers in obtaining Good Agricultural Practices (GAPs) certification which helps them access new markets. Additional funded projects focus on expanding education for Christmas tree growers and honeybee management in cold climates. The funding to Indiana is part of a total of $72.9 million in non-competitive FY 2024 funding awarded to 54 states, territories, and the District of Columbia through the Specialty Crop Block Grant Program. The funding supports farmers growing specialty crops, including fruits, vegetables, tree nuts, and nursery crops. USDA’s support will strengthen U.S. specialty crop production, expand markets, and ensure an abundant, affordable supply of highly nutritious fruits, vegetables, and other specialty crops is available to all Americans.View more information on the 2024 SCBGP Awarded Grants (pdf).AMS administers programs that create domestic and international marketing opportunities for U.S. producers of food, fiber, and specialty crops. AMS also provides the agriculture industry with valuable services to ensure the quality and availability of wholesome food for consumers across the country and globally. AMS services and its significant grant investments create opportunities by supporting American farmers, ranchers and businesses across the supply chain, and drive economic development in small towns and rural communities.#USDA touches the lives of all Americans each day in so many positive ways. In the Biden-Harris Administration, USDA is transforming America’s food system with a greater focus on more resilient local and regional food production, fairer markets for all producers, ensuring access to safe, healthy and nutritious food in all communities, building new markets and streams of income for farmers and producers using climate smart food and forestry practices, making historic investments in infrastructure and clean energy capabilities in rural America, and committing to equity across the Department by removing systemic barriers and building a workforce more representative of America. To learn more, visit www.usda.gov.Get the latest Agricultural Marketing Service news at www.ams.usda.gov/news. USDA is an equal opportunity provider, employer, and lender","What initiatives will the Indiana State Department of Agriculture (ISDA) fund through the Specialty Crop Block Grant Program to support local growers and ensure access to fresh, nutritious specialty crops for all Americans?",1. Outreach and education to assist specialty crop growers in obtaining Good Agricultural Practices (GAPs) certification. 2. Education for Christmas tree growers. 3. Honeybee management in cold climates.
"National Ag Day: Where Was the Food On Your Plate Grown?  March is National Nutrition Month. Throughout the month, USDA will be highlighting results of our efforts to improve access to safe, healthy food for all Americans and supporting the health of our next generation.  Recently, the Let’s Move! campaign issued its annual call for kids to enter original recipes into the Healthy Lunchtime Challenge.  One winner from each state will be selected to attend the 2016 Kids “State Dinner” at the White House, where a selection of the winning recipes will be served. This year, the Healthy Lunchtime Challenge is putting a spotlight on homegrown pride and encouraging entries from across the country that include ingredients grown in your state, territory, or community, celebrating MyPlate, MyState.  Angie Tagtow, Executive Director, USDA Center for Nutrition Policy and Promotion  Posted in  Food and Nutrition  Mar 15, 2016  2 Responses",What theme is being highlighted by this year's Healthy Lunchtime Challenge during National Nutrition Month?,"This year's Healthy Lunchtime Challenge is highlighting ""homegrown pride"" and encouraging recipes that include ingredients grown in one's state, territory, or community."
"Energy  Rural  May 06, 2010   Administrator-USDA Rural Utilities Service If you lived in a rural area 75 years ago, you probably didn’t have electricity. Water for livestock, cooking, cleaning and bathing had to be hand pumped from a well. Farmers risked milk spoilage in the summer, and people often got sick from lack of refrigeration of their food.  On May 11, 1935, President Franklin D. Roosevelt signed an executive order to create the Rural Electrification Administration (REA) to bring power to rural areas. It was a resounding success.  Nothing before or since has transformed rural America like the REA.  Today’s Rural Utilities Service (RUS), part of the USDA Rural Development mission area, continues the work of REA. Just this week, four former REA and RUS administrators gathered in USDA’s radio studio, reflecting on their roles from 1993 to the present. Their observations will soon be available via podcast.  Rural Development, through RUS, is aggressively building a program to finance renewable energy, and rural America is rapidly becoming a greater energy producer for the nation. Not only is this part of President Obama’s clean energy economy, but it will also create quality jobs in rural America.  Working with other federal agencies, rural electric cooperatives and other utilities, we are taking steps to modernize the electric grid and improve energy efficiency.  While working to improve electric transmission services we are also meeting a new challenge: Delivering broadband to rural communities.  Without broadband, rural businesses are placed at a disadvantage and our children face diminished educational opportunities. Our next great achievement will be to build a system that will connect even the most remote places in America to the web.   Rural America’s future is bright, thanks to the thousands of men and women who have worked in or with the REA and now the RUS over the past three-quarters of a century.  Chances are, if you live in rural America, some of those people are your neighbors, as close as your local electric cooperative.  They achieved a modern miracle, lighting rural America. This week, take a minute and think about all the good they’ve done.  They’ve achieved the greatest success in a government technology program of all time.     (Left to right) Christopher McLean, Administrator,  2000-2001; Wally Beyer 1993-1999; James Andrew 2005-2009;  Glenn English (CEO-NRECA);  Hilda Gay Legg 2001-2005; Jonathan Adelstein 2009 – present; Dallas Tonsager (Undersecretary, USDA Rural Development); gathered on May 4 at the U.S. Capitol for an event marking the beginnings of the effort to bring electricity to rural America.  Category/Topic:  Energy  Rural  Tags:  Christopher McLean  Dallas Tonsager  Energy  Glenn English  Hilda Gay Legg  James Andrew  Janathan Adelstein  President Obama  REA  Rural Development  Rural Utilities  RUS  Wally Beyer","What role does the USDA's Rural Utilities Service (RUS) play in modernizing electric infrastructure and improving energy efficiency in rural America, particularly with regards to refrigeration for food storage?","* Financing renewable energy programs * Building a program to finance energy production in rural areas * Taking steps to modernize the electric grid and improve energy efficiency * Working with other federal agencies, rural electric cooperatives, and utilities to achieve these goals However, there is no specific mention of refrigeration for food storage as a primary focus of their efforts."
"Recreation and Heritage, USDA Forest Service in  Forestry  Jan 06, 2020  Azul Aguayo, observes the wonders of nature in a new way during a Forest therapy activity. USDA Photo/Tamberly Conway In September 2017, Hurricane Maria, a deadly category 5 hurricane devastated Dominica, the U.S. Virgin Islands and Puerto Rico. Amidst the devastation was the El Yunque National Forest, the only tropical rainforest among the USDA Forest Service’s 193 million acres. Reliably lush and green, the forest was left denuded and nearly unrecognizable. Today, El Yunque is bouncing back and many places like the Quedabra Grande Recreation Area are being reopened, thanks to the work of more than 100 volunteers on National Public Lands Day 2019. National Public Lands Day is celebrated every September and is the nation’s largest single-day volunteer event in support of America’s public lands. Volunteers helped to clear trails and remove overgrown vegetation, debris and trash from the area to extend, and improve recreation opportunities to communities in the forest’s southwestern region. The joint effort was made possible through Forest Service partnerships with Fundacion Amigos de El Yunque and Corazon Latino. In addition to the service work, volunteers were also able to take part in the first-ever citizen science project on the El Yunque. Called “Redescubre el Yunque,” or “Rediscover El Yunque,” and led by Amigos de El Yunque, participants collected data to monitor forest health, composition and recovery. One of the most unique aspects of this day of service, was “Forest Bathing,” or Forest Therapy, an activity in which participants embrace their surroundings using all of their senses to connect more deeply with nature. A Forest Service representative, serving as an Association of Nature and Forest Therapy Certified Guide, offered a two-hour session, in which participants slowed down, took in their surroundings and reflected on the “more-than-human-world” around them. “Seeing this experience transform people first hand is simply amazing,” said Tamberly Conway, partnerships, diversity and inclusion specialist with the Forest Service, who also serves as a certified guide for the Association of Nature and Forest Therapy. “Witnessing people take in the sights, sounds and sensations of the forest around them and then listening to how it impacted them was extremely powerful.” Participant evaluations revealed their experience connected them more deeply to the land and built a sense of community among strangers. Many said that the experience evoked an intense appreciation for the natural world and created a stronger desire to take care of the forest, which is sacred to the Puerto Rican people. Ricardo Burke, Forest Therapy participant, communes with the more-than-human-world. USDA Photo/Tamberly Conway “Nature is our true home, it provides us with everything we need,” said Ricardo Burke, one of the participants. “Forest Therapy connects us with our most natural selves in which we realize an opening, contact and visualization, guided in a safe environment.” The good news is that you don’t need a certified guide to seek a similar experience when visiting your national forests. Get out to experience your national forests by slowing down and focusing on your sensory connections. It can unite you with your forests in profound ways that can’t be measured, and the experience can also drive a desire to lend a hand in caring for these lands. You can visit our volunteer page to find those opportunities or call a forest or grassland near you to learn how to connect to your national forests. View from El Yunque National Forest towards Municipality of Luquillo on the Northeast coast of Puerto Rico. Forest Service Photo/Kathleen McGinley  Category/Topic:  Forestry  Tags:  Forest Service  Forestry  volunteers  hurricane  El Yunque National Forest  National Public Lands Day  restoration","What unique experience did participants in the ""Forest Bathing"" or Forest Therapy activity have during the 2019 National Public Lands Day event at El Yunque National Forest?","During the 2019 National Public Lands Day event at El Yunque National Forest, participants in the ""Forest Bathing"" or Forest Therapy activity had a unique experience where they connected more deeply with nature by embracing their surroundings using all of their senses, slowing down, and reflecting on the forest around them. This experience evoked an intense appreciation for the natural world, created a stronger desire to take care of the forest, and built a sense of community among strangers."
"Federal Co-Chairs  Department  Co-Chair  Department of Agriculture  Secretary Thomas Vilsack  Department of Homeland Security/Federal Emergency Management Agency (FEMA)  Administrator Deanne Criswell  Department of Interior  Secretary Deb Haaland Federal Members  Agency  Name  Title  Bureau of Indian Affairs  Johnna Blackhair  Deputy Director  Bureau of Land Management  Mike Nedd  Deputy Director Ops  Environmental Protection Agency  Erika Sasser  Director, Health and Environmental Impacts Division, Office of Air and Radiation  FEMA- Mitigation Framework Leadership Group (MitFLG)  Angela Gladwell  Director  Hermit’s Peak/Calf Canyon Claims Office, Mitigation Framework Leadership  FEMA- Recovery Support Function Leadership Group (RSFLG)  Robert M. Pesapane  Director, Public Assistance Division, Recovery Directorate  National Park Service  Jennifer Flynn  Associate Director  Visitor and Resource Protection  National Wildfire Coordinating Group (NWCG)  Aitor Bidaburu  Executive Board Vice Chair  US Fish and Wildlife Service  Cynthia Martinez  Chief National Wildlife Refuge System  US Forest Service  Jaelith Hall-Rivera  Deputy Chief, State and Private Forestry  National Institute of Standards and Technology (NIST)  Joannie Chin  Director, Engineering Laboratory  National Oceanic and Atmospheric Administration (NOAA)  Robyn Heffernan  National Fire Weather Services Senior Advisor Non-Federal Members  Seat  Name, Title, State (Primary Member)  Name, Title, State (Alternate Member)  State Hazard Mitigation  Kathy Holder, Utah State Hazard Mitigation Officer, UT  Tim Cook, Washington State Hazard Mitigation Officer, WA  State Department of Natural Resources, Forestry, or Agriculture, or similar State agency  Kacey KC, Nevada State Forester and Vice President of the National Association of State Foresters, NV  Dan Gibbs, Executive Director of the Colorado Department of Natural Resources, CO  State Department of Energy or similar State agency  Elizabeth (Eli) King, Washington State Energy Emergency Management Director, WA  David Fogerson, Nevada Emergency Manager and Homeland Security Chief, NV  County Government Representative  Lucinda Andreani, Deputy County Manager, Coconino County, AZ  William (Bill) Cox, Rich County Commissioner, UT  Municipal Government Representative  Kathleen (Kat) McIntyre, PhD, Environmental Improvement Department Manager, Tahoe Regional Planning Agency, CA  Neil Chapman, Captain, Flagstaff Fire Department, AZ  Public Utilities Industry  Madelene McDonald, Senior Watershed Scientist, Denver Water, CO  Andy Fecko, General Manager, Placer County Water Agency, CA  Property Development Industry  David Sampson, CEO of the American Property Casualty Insurance Association, TX  Michele Steinberg, Wildfire Division Director, National Fire Protection Association, MA  Tribal Government Representative  Bill Tripp, Director of Natural Resources and Environmental Policy, Karuk Tribe, CA  Gary Jackson, Tribal Vice-Chairman, Cow Creek Band of Umpqua Tribe of Indians, OR  Wildland Firefighter  Kelly Martin, Co-Founder and Executive Board of Directors, Grassroots Wildland Firefighters, ID  Nathan Miller, Wildland Superintendent for the City of Santa Fe Fire Department, NM  501(c) 3 organization with expertise in forest management and environmental conservation  Marek Smith, North America Fire Director for The Nature Conservancy, NC  Scott Miller, Senior Regional Director, Southwest, The Wilderness Society, CO  Forestry/Industry Representative  Cody Desautel, Natural Resource Director, Confederated Tribes of the Colville Reservation, WA  John O’Keeffe, Rancher and past President of Oregon Cattlemen’s Association, OR  Science (social and ecological)  Kimiko Barrett, PhD Senior wildfire researcher and policy analyst, Headwaters Economics, MT  Scott Stephens, PhD, Professor of Fire Science, University of California, Berkeley, CA  Innovation  Jessica Morse, Former Deputy Secretary for Forest and Wildland Resilience, California Natural Resources Agency, CA  Ann Bartuska, PhD, Senior Contributing Scientist, Environmental Defense Fund and Senior Advisor, Resources for the Future, Washington DC  Prescribed Fire  John Weir, Associate Extension Specialist, Natural Resource Ecology and Management, Oklahoma State University, OK  Craig Thomas, Director, The Fire Restoration Group, CA  Forest Stewardship and Reforestation  Sam Cook, Executive Director of Forest Assets & Vice President, NC State University Natural Resources Foundation, NC  Brian Kittler, Senior Director of Forest Restoration, American Forests, OR  Health Equity  Jamiah Adams, Senior Vice President of Diversity and Justice, The Climate Reality Project, CA  Kari Nadeau, MD/PhD, Director of the Sean N. Parker Center of Allergy and Asthma Research, Stanford University, CA  National Wildland Fire Cohesive Strategy  Jim Hubbard, retiree, USDA NRE Under Secretary/US Forest Service Deputy Chief, CO  Bob Roper, Senior Policy Advisor, Western Fire Chiefs Association, CA  State Fire Response  Mariana Ruiz-Temple, Oregon State Fire Marshal, OR  Mike Morgan, Division Director, Colorado Division of Fire Prevention and Control, CO","What is the role of Michele Steinberg, Wildfire Division Director at the National Fire Protection Association, in relation to the development and implementation of national wildland fire policies?","Michele Steinberg serves as the Wildfire Division Director at the National Fire Protection Association (NFPA), which implies her involvement in shaping national wildland fire policies through NFPA's expertise and resources."
"Director of the National Institute of Food and Agriculture in  Conservation  Food and Nutrition  May 16, 2014   As an entomologist, the notion of eating insects isn’t new to me. However, for most Americans, the thought can make their stomachs churn. And yet, maybe seeing insects on their dinner plates is something Americans should get used to seeing. Yesterday, I delivered the keynote address at the Insects as Food Conference, which was hosted by the FAO and Wageningen University in the Netherlands. As director of USDA’s National Institute of Food and Agriculture (NIFA), my goal is to ensure that the science we invest in leads to solutions to today’s most pressing challenges. One of those challenges relates to our world’s growing population, which is expected to exceed 9 billion by 2050. We need to find new ways to feed all people while minimally impacting the environment. This “9 Billion Problem” has implications for how we grow and view food now and in the future. Insects have served as a human food source for tens of thousands of years and may be part of our toolkit in the future in helping solve global food security challenges. Today, insect eating is rare in the developed world but remains a source of food for people in developing countries in Central and South America, Africa and Asia. According to the Food and Agricultural Organization of the United Nations, 1,900 different insect species are consumed by 2 billion people in more than 80 countries across Asia, Africa and the Americas. There are many advantages to having insects as food. Insects contain more protein and are lower in fat than traditional meats, and contain a number of micronutrients critical for human well-being. Because of their incredible physiological efficiency, insects require significantly less food to develop on. Insects save a substantial amount of energy and natural resources by their ability to get their heat from the surrounding environment. The environmental impact of insects is also significantly minimal. Finally, their reproduction rate is much higher, making them much easier to raise. However, for all the advantages of eating insects, there are still many unanswered questions. Little is known about the nutritional quality and safety of eating certain insects. What would it look like to “farm” insects at a mass scale and are there any constraints that need to be considered? There are many unanswered questions about regulation and policy decisions. And of course, as I mentioned above, would eating insects be culturally acceptable to Americans? As we work toward addressing issues such as food security, climate change, food safety, sustainable energy and childhood obesity, we might have to start thinking outside the box to find viable solutions. Incorporating insects on the dinner plate is just one small step in this direction, but it might lead to big outcomes around the world. Mealworm quiche served for lunch at the Insects as Food Conference at Wageningen University in the Netherlands. Photo courtesy: Murtala Umar Faruk, DSM Nutritional Products  Category/Topic:  Conservation  Food and Nutrition  Tags:  Africa  Asia  Central America  Dr. Sonny Ramaswamy  FAO  Food security  Global Food security  insects  Netherlands  NIFA  South America","""What are some of the key challenges and unanswered questions surrounding the use of insects as food, particularly in relation to cultural acceptance, regulatory frameworks, and nutritional safety?""","1. **Cultural acceptance**: Would eating insects be acceptable to Americans, a significant proportion of whom are hesitant or repelled by the idea? 2. **Nutritional quality and safety**: Little is known about the nutritional value and safety of consuming certain insects. 3. **Regulation and policy**: There are many unanswered questions about regulatory frameworks and policy decisions needed for mass-scale insect farming and consumption. 4. **Sustainability and environmental impact**: While insects have a minimal environmental impact, large-scale insect farming could raise concerns about resource use and waste management. These challenges highlight the need for further research, discussion, and consideration of the potential benefits and drawbacks of incorporating insects into human diets."
"USDA FNS SWRO Public Affairs Specialist in  Food and Nutrition  Jun 10, 2011   On May 26, I got to go back home to the Rio Grande Valley – the southernmost region in the continental United States – to help promote new sites for the Summer Food Service Program (SFSP). The SFSP provides free, nutritious meals and snacks to help children in low-income neighborhoods get the nutrition they need to learn, play, and grow, throughout the summer months when they are out of school. My agency, the USDA Food and Nutrition Service, along with our state partner, the Texas Department of Agriculture, collaborated with local leaders from the Catholic Charities of the Rio Grande Valley to bring SFSP feeding sites to the area, where unemployment figures are the highest in Texas and many families struggle to make ends meet. Local San Juan area children sample the nutritious meals that will be distributed to more than 1,500 children at feeding sites this summer. Along with Catholic leaders and local elected officials, we held a press conference in the historic national shrine of the Basilica of Our Lady of San Juan Del Valle. The shrine located in San Juan is the most visited site in the Rio Grande Valley, where parishioners visit in times of crisis or to give thanks for prayers answered.  We felt it was appropriate to launch our new feeding initiative at the shrine since so many see it as a symbol of hope. Catholic Bishop Daniel Flores opened the press conference with a blessing to more than 100 people in attendance. Local school children from the San Juan area were invited to sample food that will be served by the SFSP’s vendor, Chapita’s, and participate in special games – which would be similar to the feeding site activities. My agency is grateful that Catholic Charities has agreed to sponsor 25 feeding locations this summer. Sites are located throughout Cameron, Hidalgo and Willacy counties. An estimated 1,500 children will be served snacks and/or lunches. We appreciate Catholic Charities for going above and beyond with the SFSP. The agency partnered with other communities to set up sites in rural areas and colonias (unincorporated areas outside of cities where there is no running water or sewage system). Those residents have a hard time getting access to assistance. We at the USDA Food and Nutrition Service are committed to President Barack Obama’s goal of ending childhood hunger, and Catholic Charities will help us reach that goal by providing the staff to administer these meals to children. Last year in Texas 2.3 million children qualified for free and reduced-price meals in the National School Lunch Program, which makes the neighborhoods they live in eligible to participate in SFSP. Only 162,636 Texas children (less than 7 percent) took part in SFSP in 2010. Our agency would like to thank representatives from the Texas Department of Agriculture, Texas Health and Human Services Commission, the office of U.S. Representative Blake Farenthold (R-Brownsville) and the office of U.S. Representative Ruben Hinojosa (D-McAllen) for joining us that afternoon and underscoring the need to support this program. We also got a nice proclamation from the City of San Juan, which honored Catholic Charities for stepping up to feed children in the area.  Category/Topic:  Food and Nutrition  Tags:  Center for Faith Based and Neighborhood Partnerships  FNS  National School Lunch Program  Summer Food Service Program  Texas","What USDA program provides free, nutritious meals and snacks to help children in low-income neighborhoods get the nutrition they need during the summer months when they are out of school?","The Summer Food Service Program (SFSP) provides free, nutritious meals and snacks to help children in low-income neighborhoods get the nutrition they need during the summer months when they are out of school."
"Penn. USDA Public Information Officer in  Initiatives  Rural  Mar 07, 2011  Jack Kauffman, USDA Rural Development Area Director (left), Board members of the Milton Public Library: Amy DeHart Woodcock (center) and John Meckley (right) and local resident Spencer Garvey (front) at the ceremonial groundbreaking of the Milton Public Library. Spencer Garvey, a young resident of Milton, Pennsylvania, is looking forward to visiting the children’s library at the new Milton Public Library at Rose Hill, where stakeholders and local officials broke ground last week.  By early next year, the historic mansion in the heart of Milton will be transformed into an 11,000 square-foot library and community center with dedicated space for educational and cultural programs. The project is funded, in part, by the American Recovery and Reinvestment Act through a USDA Community Facilities loan and a Community Facilities grant. State grants and community contributions were also instrumental in the project. To find out how USDA can assist your community in its effort to improve community facilities, click here.   Category/Topic:  Initiatives  Rural  Tags:  ARRA  Milton  Pennsylvania  Public Library  Rural Development",What initiative from the American Recovery and Reinvestment Act (ARRA) provided funding for the construction of the new Milton Public Library in Pennsylvania?,The USDA Community Facilities loan and grant were part of the American Recovery and Reinvestment Act (ARRA) that provided funding for the construction of the new Milton Public Library.
"Spotlight on Rural America  Cross posted from the White House blog:  Today, I am hosting a forum focused on the rural economy at the Iowa state fair.  But, Rural America has been in the spotlight all this week as I joined President Obama to travel across parts of Minnesota, Iowa and Illinois, visiting rural communities to discuss his Administration’s efforts to create jobs and drive economic growth.  From investments in rural broadband to efforts to support small-business innovation, the President talked about his commitment to rural America – and he listened to what local residents had to say. The centerpiece of his trip was the Rural Economic Forum, held Tuesday at Northeast Iowa Community College in Peosta.  There, 200 small business owners, farmers, retirees, elected officials and others came together to discuss their ideas for a revitalized rural economy.  I was pleased to participate in that forum, along with my Cabinet colleagues Housing and Urban Development Secretary Donovan, Transportation Secretary LaHood, and Administrator Mills of the Small Business Administration.  Agriculture Secretary Tom Vilsack  Posted in  USDA Results  Rural  Aug 19, 2011  Respond to this story",What economic strategies are being implemented by the Obama administration to drive growth and revitalization in rural America?,"The Obama administration is implementing various economic strategies to drive growth and revitalization in rural America, including investments in rural broadband and efforts to support small-business innovation."
