content,question,answer
"Departmental Administration (DA) DA provides central administrative management support to Department officials and coordinates administrative programs and services. Office of Partnerships and Public Engagement (OPPE) The Office of Partnerships and Public Engagement develops and maintains partnerships focused on solutions to challenges facing rural and underserved communities in the United States, and connects those communities to the education, tools, and resources available to them through U.S. Department of Agriculture programs and initiatives. We facilitate partnerships and offer education and resources to foster hope and opportunity, wealth creation, and asset building in rural and underserved communities. Office of the Assistant Secretary for Civil Rights (OASCR) OASCR's mission is to facilitate the fair and equitable treatment of USDA customers and employees, while ensuring the delivery and enforcement of civil rights programs and activities. ASCR ensures compliance with applicable laws, regulations, and policies for USDA customers and employees regardless of race, color, national origin, sex (including gender identity and expression), religion, age, disability, sexual orientation, marital or familial status, political beliefs, parental status, protected genetic information, or because all or part of an individual's income is derived from any public assistance program. (Not all bases apply to all programs.) Office of Budget and Program Analysis (OBPA) OBPA provides centralized coordination and direction for the Department's budget, legislative and regulatory functions. It also provides analysis and evaluation to support the implementation of critical policies. OBPA administers the Department's budgetary functions and develops and presents budget-related matters to Congress, the news media, and the public. Office of the Chief Diversity, Equity, and Inclusion Officer (OCDIO) The Office of the Chief Diversity, Equity, and Inclusion Officer (OCDIO) at the U.S. Department of Agriculture (USDA) is dedicated to advancing diversity, equity, inclusion, and accessibility (DEIA) across the Department's multifaceted landscape. Tasked with overseeing the implementation of USDA's inaugural DEIA Strategic Plan, the OCDIO, under the leadership of the Chief Diversity and Inclusion Officer, serves as the driving force behind cultivating an environment of belonging and support within the USDA. Through interagency collaboration, the OCDIO champions DEIA advancement across the Department, nurturing a high-performing and innovative workforce that is reflective of the diverse fabric of the nation. Office of the Chief Economist (OCE) OCE advises the Secretary on the economic situation in agricultural markets and the economic implications of policies and programs affecting American agriculture and rural communities. OCE serves as the focal point for economic intelligence and analysis related to agricultural markets and for risk assessment and cost-benefit analysis related to Departmental regulations affecting food and agriculture. Office of the Chief Financial Officer (OCFO) OCFO shapes an environment for USDA officials eliciting the high-quality financial performance needed to make and implement effective policy, management, stewardship, and program decisions. Office of the Chief Information Officer (OCIO) OCIO has the primary responsibility for the supervision and coordination of the design, acquisition, maintenance, use, and disposal of information technology by USDA agencies. OCIO's strategically acquires and uses information technology resources to improve the quality, timeliness and cost-effectiveness of USDA services. Office of the Chief Scientist (OCS) OCS provides scientific leadership to the Department by ensuring that research supported by and scientific advice provided to the Department and its stakeholders is held to the highest standards of intellectual rigor and scientific integrity. It also identifies and prioritizes Department-wide agricultural research, education, and extension needs. Office of Communications (OC) OC is USDA's central source of public information. The office provides centralized information services using the latest, most effective and efficient technology and standards for communication. It also provides the leadership, coordination, expertise, and counsel needed to develop the strategies, products, and services that are used to describe USDA initiatives, programs, and functions to the public. Office of Congressional Relations (OCR) OCR serves as the USDA's liaison with Congress. OCR works closely with members and staffs of various House and Senate Committees to communicate the USDA's legislative agenda and budget proposals. Office of External and Intergovernmental Affairs The Office of External and Intergovernmental Affairs (EIA) builds trusted relationships with state, county and local elected and appointed officials, and external organizations (trade associations, philanthropic organizations, and faith-based organizations) throughout the nation to advance USDA and the Secretary’s priorities and to serve as the hub for elected and appointed officials and external organizations to communicate with the Secretary and USDA officials and access programs and services. Office of Ethics (OE) United States Department of Agriculture (USDA) Office of Ethics is here to assist USDA employees with understanding the rules that govern their conduct as a government employee, including the Standards of Ethical Conduct for Employees in the Executive Branch, USDA’s Supplemental Standards of Ethical Conduct, and the Federal criminal conflict of interest laws. Office of the Executive Secretariat (OES) OES ensures that all Department officials are included in the correspondence drafting and policy-making process through a managed clearance and control system. Keeping policy officials informed of executive documents enhances the Secretary's ability to review sound and thought out policy recommendations before making final decisions. Office of the General Counsel (OGC) The Office of the General Counsel (OGC) is an independent legal agency that provides legal advice and services to the Secretary of Agriculture and to all other officials and agencies of the Department with respect to all USDA programs and activities. Office of Hearings and Appeals (OHA) The Office of Hearings and Appeals (OHA) of the United States Department of Agriculture is comprised of three offices: the National Appeals Division (NAD), the Office of Administrative Law Judges (OALJ), and the Office of the Judicial Officer (OJO). OHA's mission is to plan, coordinate, and provide administrative support for NAD, OALJ, and OJO. OHA promotes fairness, transparency, and consistency in NAD, OALJ, and OJO proceedings through the planning, coordination, and administration of office-wide activities and initiatives. National Appeals Division (NAD) NAD is an office that reports directly to the Secretary of Agriculture and is, by law, independent from the direction and control of any other agency within USDA. Our sole mission is to conduct impartial administrative appeals hearings of adverse program decisions by the following USDA agencies: the Farm Service Agency, the Risk Management Agency, the Natural Resources Conservation Service, the Rural Housing Agency, the Rural Business Cooperative Service, and the Rural Utilities Service.  Office of Inspector General (OIG) OIG investigates allegations of crime against the Department's program, and promotes the economy and efficiency of its operations. Office of Tribal Relations (OTR) The Office of Tribal Relations is located in the Office of the Secretary, and is responsible for government-to-government relations between USDA and tribal governments. The White House Liaison Office The White House Liaison Office’s (WHLO) mission is to provide staff support to the Secretary, Deputy Secretary, and senior-level Department officials on policy and operational matters specifically managing the Schedule C and non-career executive personnel and USDA Federal Advisory Committees, Commissions, and Boards of the Department.",What is the primary role of the Office of Partnerships and Public Engagement (OPPE) in addressing challenges facing rural and underserved communities through U.S. Department of Agriculture programs and initiatives?,"The primary role of the Office of Partnerships and Public Engagement (OPPE) is to develop and maintain partnerships that focus on solutions to challenges facing rural and underserved communities, and connect those communities to education, tools, and resources available through USDA programs and initiatives."
"What is nutrition security? Building on and complementing our long-standing efforts to address food security, we are expanding our efforts to advance food and nutrition security. Nutrition security means all Americans have consistent and equitable access to healthy, safe, affordable foods essential to optimal health and well-being. Our approach to tackling food and nutrition insecurity aims to:  Recognize that structural inequities make it hard for many people to eat healthy and be physically active; and  Emphasize taking an equity lens to our efforts.  Learn more  A household is food secure if all members, at all times, can access enough food for an active, healthy life. At a minimum, food security includes:  Readily available nutritionally adequate and safe foods, and  The ability to acquire those foods in socially acceptable ways (without resorting to emergency food supplies, scavenging, stealing, or other coping strategies).  Nutrition security means consistent access, availability, and affordability of foods and beverages that promote well-being, prevent disease, and, if needed, treat disease, particularly among racial/ethnic minority, lower income, and rural and remote populations including Tribal communities and Insular areas. Nutrition security is an emerging concept that complements efforts to increase food security while also:  Recognizing that Americans, in general, fall short of an active, healthy lifestyle aligned with Federal dietary and physical activity guidelines, and  Emphasizing equity to ensure our efforts serve all populations to promote access, availability, and affordability to foods and beverages, and address the connection between food insecurity and diet-related chronic diseases. View the Infographic (, 420 ) What is the problem? Poor nutrition is a leading cause of illness in the United States, associated with more than half a million deaths per year. It is linked with increased risk of obesity, diabetes, and heart disease as well as broader impacts including higher health care costs and decreased productivity.  Learn more  Poor nutrition is widespread  Though poor nutrition affects every demographic, diet-related diseases hit harder among historically underserved communities.  The overall diet quality score for Americans is 59 out of 100, indicating that the average American diet does not align with Federal dietary recommendations. However, the resulting health burden is not equally shared. Certain populations are at greater risk for diet-related disease. For example, Black and Indigenous children are more likely to have obesity than their white peers. Those who face food insecurity are also at greater risk.  Beyond the effect on health, poor nutrition and diet-related diseases have far-reaching impacts including decreased academic achievement and increased financial stress. That translates to societal impacts as well—lower productivity, weakened military readiness, widening health disparities, and skyrocketing health care costs. For example, approximately 85 percent of current health care spending is related to management of diet-related chronic disease.  To make progress on these problems, Americans need equitable access to healthy foods that promote well-being. What is USDA doing? USDA wants input from all Americans on ways we can improve nutrition security. The department is particularly focused on strengthening and building new partnerships with all levels of government, the private sector, community-based organizations, and families. Together, we can make progress that will change lives and ensure a healthier, more prosperous future for all Americans.  Learn more  USDA’s work to advance nutrition security focuses on four pillars:  Meaningful Support  Healthy Food  Collaborative Action  Equitable Systems  Research and evaluation  USDA’s work on nutrition security is driven by research and grounded in science. In addition to the extensive research performed by the Food and Nutrition Service, the Agricultural Research Service has six human nutrition research centers, the Economic Research Service studies numerous topics central to food and nutrition security, and the National Institute of Food and Agriculture advances food and nutrition security through research, education, extension, and innovation. Our work is also driven by the lived experiences – of our staff and our stakeholders.  Learn more about our nutrition security research. Food and Nutrition Security by the Numbers Read the Role of FNS Report (, 10.0 MB) Read the Actions on Nutrition Security (, 792 )Read USDA Blogs on Nutrition Security Browse all food and nutrition topics","What are the key differences between food security and nutrition security, and how do they relate to addressing disparities in health outcomes among underserved communities?","**Food Security:** Ensures all members of a household have consistent access to enough nutritious food for an active and healthy life. It includes having readily available safe and nutritious foods, as well as being able to acquire them in socially acceptable ways. **Nutrition Security:** Goes beyond food security by emphasizing the importance of equitable access to healthy, safe, affordable, and culturally competent foods that promote well-being, prevent disease, and treat disease, particularly among underserved populations. It aims to address the connection between food insecurity and diet-related chronic diseases. In terms of addressing disparities in health outcomes among underserved communities, nutrition security is a more comprehensive approach that recognizes the historical inequities and systemic barriers that make it difficult for many people to eat healthy and be physically active. By emphasizing equity and taking an equity lens to efforts, nutrition security aims to ensure that all populations have access to the foods and beverages they need to maintain good health, particularly among racial/ethnic minority, lower-income, and rural and remote communities."
"It's Time to Talk about the Birds and the Bees -- and the Butterflies, Bats and Beetles  Cross-posted from the Department of Interior blog: From birds and bees to butterflies, bats and beetles, pollinators are a diverse group and are critically important to terrestrial life on our planet. Without our help, however, their populations will continue to decline as a result of numerous stressors including loss of habitat, pests and pathogens, and exposure to pesticides. Bees and other pollinators are essential to America’s agricultural economy and maintain the beauty of our iconic landscapes. Without them, we wouldn’t have most of our vegetables, flowers, fruits or nuts. Honey-bee pollinations alone contribute more than $15 billion in value to U.S. agricultural production each year, but beekeepers reported losing just over 23 percent of honey bee colonies last winter. Other pollinators that help sustain food production and the environment—such as native bees and bats—also are declining.  Ann Mills, USDA Deputy Under Secretary for Natural Resources and the Environment and Jon Jarvis, National Park Service Director  Posted in  Animals  Plants  Jun 16, 2015  Respond to this story","What is a major threat to pollinators such as bees, butterflies, bats, and beetles, according to beekeepers' reports?","According to beekeepers' reports, a major threat to pollinators is the loss of honey bee colonies, with just over 23% reported lost last winter."
"Media Relations Officer, U.S. Forest Service in  Forestry  Aug 04, 2011  The USDA Forest Service, along with Pollinator Partnership, has produced a booklet called Bee Basics: An Introduction to our Native Bee. From the booklet, the southeastern blueberry bee (Habropoda laboriosa) visiting blossoms of a rabbiteye blueberry (Vaccinium virgatum). When I was a kid, there was one category for bees – “the stinging kind.” Fear of being stung wouldn’t allow me to consider variations among the swarms that patrolled playgrounds. The only thing that made bees tolerable was … the honey. Youthfully ignorant, I didn’t know that there are thousands of bee species (and some bee species are stingless) or that those bees on the playgrounds were more life saving than threatening. The USDA Forest Service, along with Pollinator Partnership, has produced a booklet called Bee Basics: An Introduction to our Native Bees to educate the public and encourage people to help protect these essential insects. The 40-page booklet primarily focuses on bees native to North America, of which there are 4,000 species, found in forests, farms, cities, wildlands and deserts.  Although honey bees may be most noted for producing honey, the booklet explains that native bees are valued for pollinating plants. The USDA Forest Service, along with Pollinator Partnership, has produced a booklet called Bee Basics: An Introduction to our Native Bee. From the booklet, two female Morrison's bumble bees (Bombus morrisoni) sonicate the pollen from pored-anthers of a garden tomato.  “Much of the produce we eat is pollinated by bees,” said Larry Stritch, a USDA Forest Service National Botanist. “They pollinate about 75 percent of the fruits and vegetables grown in the (United States) and 80 percent of flowering plants. Take away bees and you greatly decrease our food source and food for animals.” According to “Bee Basics,” ground nesting bees provide food to wildlife and aerate and enrich soil.    The North American bumble bee, characterized by their relatively large, black, furry bodies and bright stripes, may be most familiar to Americans. There are about 50 species of bumble bees, which are important pollinators of tomatoes and clovers, a forage crop for cattle. Bumble bees are among the Apidae family of bees, which also include native carpenter, squash and cuckoo bees, and nonnative stingless, orchid and honey bees. Honey bees are the only natural source of honey that’s healthy for humans. Brought to America from Europe, honey bees don’t pollinate native plants as effectively as native bees. Along with information about a variety of bees, “Bee Basics” also contains pages of glossy, color illustrations of bees and plants. The booklet’s key message warns of the threat to native-bee survival that is posed by pesticides, competition for nectar from honey bees, and environmental destruction. To learn more about native bees, read “Bee Basics” on the Forest Service website.   The USDA Forest Service, along with Pollinator Partnership, has produced a booklet called Bee Basics: An Introduction to our Native Bee. From the booklet, female adrenid bees (Andrena cornelli) foraging for nectar on azalea (Rhododendron canescens).   Category/Topic:  Forestry  Tags:  Bee Basics  Forestry  FS  Larry Stritch  pollinators","What are some of the main threats to native-bee survival, according to the ""Bee Basics"" booklet?",1. Pesticides 2. Competition for nectar from honey bees 3. Environmental destruction
"District Wildlife Biologist, Region 5 Naturewatch Coordinator, Scott Salmon River Ranger District in  Forestry  Initiatives  Apr 23, 2010   In 1999, Yreka High School in Yreka, California received funds from a Forest Service Grant (Partners in Flight Program) to enhance their agriculture and natural resource program and provide wildlife habitat on school grounds. These funds were used to build a songbird garden, purchase fencing, materials for an irrigation system, and a greenhouse structure. The students and instructors constructed the fence, irrigation system and the greenhouse. The Songbird Garden Portion of the Yreka Community was funded by Partners in Flight Program. Then in the spring of 2009, the Siskiyou Gardens, Parks and Greenway Association (SGPGA) partnered with Yreka High School to develop a community garden and greenhouse. The Yreka Garden Club also agreed to help maintain the greenhouse in exchange for growing space. These organizations along with a number of community volunteers pulled their enthusiasm and resources together to make this project a reality. In a few short months they leveled the site, built the raised beds, fixed the fence and irrigation system, and started thousands of seedlings inside the greenhouse. Much of the heavy work was donated by members of the California Conservation Corps and some materials were donated by local businesses. The success of this community garden is the result of many enthusiastic volunteers. Approximately 25 beds were constructed as well as a flower beds to attract pollinators. The grand opening of this People’s Garden was May 3, 2009.  Festivities included a ribbon-cutting ceremony, old-time music, a plant sale, and gardening workshops. The garden was teeming with enthusiasm through the summer, and by September many hundreds of pounds of fruit and vegetables were ready to be harvested and donations were made to Yreka Senior Center, Yreka Hospice, Grange Hall Community Hot Meals Program, and Yreka Community Food Bank.  Through these organizations produce was made available to an estimated 300-350 people. Six workshops were held here on topics related to gardening, greenhouses, starting seed, and food preservation. This spring and summer the Yreka Community Garden will be hold free classes on permiculture, greenhouse plantings, composting and mulching, and canning. Special thanks goes to their partners! Members of the California Conservation Corps (CCC) volunteered their services for a variety of work including clean up, construction of the raised beds and setting fresh gravel in the greenhouse. The Ford Family Foundation Leadership Training Group is sponsoring the construction of an outdoor classroom/gazebo. This structure is a special project led by a local leadership training class which has been fund-raising for this project for 7 months.  This project has received much support from local contributors including Rotary Club and in kind contributions from local contractors. The Yreka Community Garden will also be developing a Children's Garden that will feature educational planting beds, small water fountain/bird bath, butterfly garden, willow tunnel, native American cedar plank house, and benches and paths. This is being developed by an active community group including U.S. Forest Service biologists, U.S. Fish and Wildlife Service biologists, local teachers, child development specialists, and local gardeners. Grants are being applied for to fund this aspect of the Yreka Community Garden  Category/Topic:  Forestry  Initiatives  Tags:  California  Flight Program  Forestry  Grants  Irrigation  People's Garden  pollinators  Wildlife  Yreka",What innovative ways did the Yreka Community Garden and its partners implement to reduce waste and create a sustainable environment through composting and mulching practices?,"* Composting: Not explicitly mentioned, but implied as part of their overall gardening practices. * Mulching: Mentioned in the context of spring and summer workshops on topics related to mulching. * Recycling seedlings and materials: The garden reused and repurposed materials from the construction of raised beds and the greenhouse. * Reducing food waste: Produce was donated to various local organizations, reducing food waste and providing nutrition to an estimated 300-350 people."
"What is the Nine Agency Rule? The U.S. Department of Agriculture’s (USDA) Office of the Assistant Secretary for Civil Rights (OASCR) enforces the Nine Agency Rule under the authority delegated by the Secretary of Agriculture, pursuant to 7 C.F.R. § 2.25 (a)(1)(3). The Nine Agency Rule is designed to ensure that USDA programs of civil rights, including program delivery, compliance, and equal employment opportunity, adhere to all governing laws, rules, and regulations, including related Executive Orders and Congressional mandates. On February 14, 2021, President Joseph R. Biden, Jr., signed Executive Order 14015, establishing the White House Office of Faith-Based and Neighborhood Partnerships, emphasizing the importance of partnering with civil society, including faith-based and secular organizations, to serve people in need while adhering to all governing laws. This Executive Order revoked Executive Order 13831 and reinstated key provisions to protect religious liberty. Key Provisions of the Nine Agency Rule  Equal Access for Faith-Based Organizations  Under 7 CFR § 16, faith-based organizations are eligible to access and participate in USDA assistance programs on the same basis as any other organization. USDA and its intermediaries must not discriminate against or for an organization based on its religious character, motives, affiliation, or lack thereof.  Non-Discrimination Against Beneficiaries  Organizations receiving direct or indirect Federal financial assistance from USDA must not discriminate against current or prospective beneficiaries based on religion, religious belief, refusal to hold a religious belief, or refusal to attend or participate in a religious practice.  Separation of Religious Activities  Organizations that receive USDA direct assistance must separate any explicitly religious activities in time or location from the programs or services funded by USDA direct assistance, ensuring participation in such activities is voluntary. This restriction does not apply to indirect Federal financial assistance.  Notification Requirements  Recipients administering USDA social service programs must notify beneficiaries or prospective beneficiaries of their right to be free from religious discrimination and how to report violations.  Alternative Providers  If a beneficiary objects to the religious character of a faith-based provider, the USDA awarding agency must make reasonable efforts to refer the beneficiary to an alternative provider.  Protections for Faith-Based Providers  Faith-based providers can compete equally with secular organizations for USDA awards while retaining their religious character, provided they comply with all applicable regulations. Examples of Nine Agency Rule Violations  Denied Service Based on Religious Beliefs  A food pantry volunteer denies service to an individual wearing a religious head covering and makes derogatory remarks about their faith.  Discriminatory Practices by Service Providers  A service provider receiving USDA funds denies services to a homeowner based on their perceived religion, using offensive language, and failing to address the discrimination. How to File a Complaint Any individual who believes they have been discriminated against based on religion, religious belief, refusal to hold a religious belief, or refusal to attend or participate in a religious practice may file a complaint with OASCR. To file a complaint, visit www.usda.gov/oascr/filing-program-discrimination-complaint-usda-customer. Contact Us If you have any questions or would like technical assistance, please contact the USDA Office of the Assistant Secretary for Civil Rights by visiting www.usda.gov/oascr/home. You may contact the Office of the Assistant Secretary for Civil Rights, Information Research Service, at (toll-free) or send an email to the Office of the Assistant Secretary for Civil Rights at CR-INFO@usda.gov. Individuals who are deaf, hard of hearing, or have speech disabilities may contact us through the Telecommunication Relay Service at 711 or (Spanish).",What protections does the Nine Agency Rule provide to beneficiaries based on their religious beliefs and practices when interacting with service providers receiving USDA funds?,"* Equal access to services from faith-based organizations * Non-discrimination against beneficiaries in programs funded by the USDA * Separation of explicitly religious activities from programs or services funded by the USDA * Notification requirements for recipients administering USDA social service programs, informing beneficiaries of their right to be free from religious discrimination and how to report violations * Alternative providers must be made available if a beneficiary objects to the religious character of a provider."
"U.S. Forest Service Office of Communication, and Larry Stritch, U.S. Forest Service National Botanist in  Forestry  May 03, 2012  Wildflower displays of blue Wasatch Penstemon and white Nuttall’s linanthus wildflowers bloom in the subalpine meadows of Albion Basin on the Uinta-Wasatch-Cache National Forest from mid-July through early August.  As spring begins across the nation, fields are turning green – and pastel pink, flaming scarlet, electric orange, brilliant yellow, deep violet and florescent blue.   Wildflowers are abloom!  This year, the Forest Service has released an updated wildflower map with 317 viewing areas to choose from on America’s national forests and grasslands.  In addition to locations, information is also provided on the best time for peak viewing. Yellow fritillaries are some of the first plants to bloom after the snow melts and are found in the western United States.  “Every year we continue to add new wildflower viewing areas,” said Larry Stritch, the U.S. Forest Service National Botanist.  “This year, we have updated the map so visitors can search by geographical region, state or national forest or grassland.  This makes it easier to plan day trips or extended journeys to enjoy the colorful displays of Mother Nature’s catalog of wildflowers.” Due to an extremely mild winter, an early spring is appearing in many areas and wildflower season has begun.  The pageantry begins with spring ephemerals such as bloodroot, Virginia bluebells, and squirrel corn.   Spring ephemerals are woodland wildflowers which appear in early spring, flower, set seed, and then die back to their underground parts before the trees unfurl their leaves. Other spring wildflowers seen in early spring include wild gingers, hepaticas, and trilliums. In late summer and early fall, the last wildflowers of the year begin to flower including asters, sunflowers, goldenrods, cardinal flower and gentians. Red columbine begin flowering in early spring in a cascade of blooms from the southern states on the Gulf of Mexico north into Canada.  The updated map includes a narrative for each viewing area which describes the area’s botanical habitat and wildflowers types that can be found by season, as well as recommendations for the best time of year to visit.  Safety advisories such as animal habitats, clothing recommendations, insect or plant cautions, and traffic and parking tips are provided.  Directions to the site, the closest town and contacts for more information are also offered. The map is part of the agency’s Celebrating Wildflowers web site which includes more than 10,000 plant images and over 1,500 pages of information about the aesthetic, recreational, biological, medicinal, and economic values of native plants as well how to conserve native plant habitats.  Category/Topic:  Forestry  Tags:  Celebrate Wildflowers  Forestry  US Forest Service '  wildflowers","""What is the best time to see yellow fritillaries and linanthus wildflowers, which are among the first plants to bloom after the snow melts, in the western United States?""",Mid-July through early August.
"APHIS Wildlife Biologists Aid Squirrel Recovery on the Delmarva  Many claim that 2020 has been a year of chaos and calamity, but for one rare squirrel, it might be a year of hope and new beginnings. The Delmarva Fox Squirrel (DFS) is a subspecies of fox squirrel found on the eastern shore of Maryland, Southern Delaware and Virginia. This pudgy, slow squirrel with its signature size and silvery-white coat has become a conservation success story in Maryland. Habitat loss along with other additive factors landed them on the Federal endangered species list in 1967. Protection and management efforts benefited DFS and in 2015, populations reached stable limits and they were officially delisted in Maryland. In parts of Delaware, DFS populations were not as prolific and numbers began to dwindle over time leaving only a few small populations.  Margaret “Marnie” Pepper, District Supervisor, APHIS-Wildlife Services, Chesapeake Bay Nutria Eradication Project/Detector Dog Program  Posted in  Animals  Conservation  Oct 22, 2020  Respond to this story",What specific management efforts contributed to the recovery of the Delmarva Fox Squirrel (DFS) and led to its delisting from Maryland's endangered species list?,Protection and conservation efforts.
"First People’s Garden Fall Workshop on Friday, September 10  Looking for something fun and informative to do this Friday at 12 noon?  Visit the People’s Garden at USDA Headquarters in Washington, DC for our first workshop of Fall 2010 entitled Gleaning Resources: Finding information, materials and helping hands for your garden.    The People’s Garden Team  Posted in  Initiatives  Sep 09, 2010  2 Responses",What are some resources that can be found or accessed through the Gleaning Resources workshop at the People's Garden on Friday?,"Information, materials, and helping hands for gardening projects."
"Natural Resources Conservation Service-Florida Plant Materials Center in  Conservation  Animals  Plants  May 08, 2014  In northern Florida wildflowers are planted in an unused part of this farm field to provide habitat for pollinators. USDA photo. No matter what part of the country you grew up in, most of us have fond childhood memories of the wildflowers that sprung up each year around our homes, parks and roadsides. For many, this fondness has carried into our adult years. This week, we celebrate National Wildflower Week as a way to share our interest and to increase public awareness for wildflowers in the landscape. The beauty of wildflowers can indeed stir up memories of a certain place or time. But the wildflowers that are native to a particular place also serve an important function in the ecology of that place. Native wildflowers are those species that were already growing in an area before settlers came and planted their favorite flowers from their homelands. Plants that are native to an area are better adapted to the local growing conditions than non-native ones. They are generally easier to establish, require less water and fertilizer and are more tolerant of the pests and diseases found in that area. Many populations of native wildflowers have been lost because of urban development, competition from invasive plant species and some modern farming practices. We’ve learned that agriculture can benefit from native wildflowers. Patches of wildflowers located adjacent to crop fields can attract insects and other types of wildlife that in turn pollinate the crop and increase yields. In fact, more than a third of the world’s food crops are dependent on pollinators to produce fruit. USDA’s Natural Resources Conservation Service (NRCS) is working to combat this decline of wildflowers by promoting planting of them on farms and ranches. Several of the Farm Bill programs that NRCS administers have specific financial incentives tied to planting wildflowers. NRCS also maintains a national network of Plant Materials Centers that can provide information on which native wildflowers to plant to improve pollinator habitat and guidance on recommended methods for establishing and maintaining wildflower plantings. At the Plant Materials Center where I work, we recently partnered with the Xerces Society for Invertebrate Conservation to track flowering periods of several native wildflowers. This information is being used to help develop seeding mixes for attracting pollinators to crops grown in Florida. Flowering periods of the crop and the wildflowers that we plan to use to attract pollinators must be in sync for successful pollination to occur. The information we gather can help determine the best wildflower species for farmers to plant in field borders, contour buffer strips and other conservation practices to ensure pollination of their crops.  Category/Topic:  Conservation  Animals  Plants  Tags:  Conservation  Farm Bill  Florida  Food Farm and Jobs Bill  NRCS  wildflowers  Xerces Society","What role do native wildflowers play in pollination of crops, and how does the USDA's Natural Resources Conservation Service (NRCS) promote their planting on farms and ranches?","Native wildflowers attract insects and other wildlife that pollinate crops, increasing yields. The USDA's NRCS promotes their planting through financial incentives tied to Farm Bill programs and provides guidance through national Plant Materials Centers on selecting native wildflower species for pollinator habitat and optimal flowering periods."
