content,question,answer
"National School Lunch Week: Reasons to Celebrate  National School Lunch Week is underway this week. It’s an annual event, of course, but this year I think we have a lot to celebrate because more and more people are coming to understand how important it is to provide America’s school children with a healthy nutrition environment at school.   In fact, as I look around, I see encouraging developments in many areas, but none more so than the growing number of schools that have decided to take on USDA’s HealthierUS School Challenge.  Audrey Rowe, USDA Food and Nutrition Service Deputy Administrator for Special Nutrition Programs  Posted in  Food and Nutrition  Oct 12,   1 Response",What is the main goal of National School Lunch Week and the USDA's HealthierUS School Challenge?,The main goal is to provide America's school children with a healthy nutrition environment at school.
"Earth Day Meets Veterans Day in Mississippi  USDA Rural Development State Director Trina George and numerous local officials and leaders were in two Mississippi counties this spring to commemorate Earth Day and highlight USDA’s commitment to good environmental practices. State Director George met with officials of the Tallahala Water Association in Bay Springs, Mississippi to mark a recent loan and grant from USDA Rural Development to the water association for improvements to their existing system. The event was held at the office of the water association in Bay Springs.  Ken Stribling, Public Information Coordinator, USDA Rural Development, Mississippi  Posted in  Rural  Jun 03,   Respond to this story",What initiative did USDA's Trina George and officials from the Tallahala Water Association launch to improve environmental practices and water systems in two Mississippi counties?,USDA's Trina George and the Tallahala Water Association launched a loan and grant initiative to improve their existing water system.
"USDA Program Helps High School Students Realize Ag Jobs are Everywhere  Here at the USDA’s Agricultural Marketing Service (AMS), one of the many benefits of creating marketing opportunities for ag businesses is seeing first-hand how the industry supports 1 in 12 jobs all over the country. In addition to feeding the world, the ag industry continues to be the strong backbone in our nation’s economy – in both rural and urban areas. To help continue this trend, we set out to groom the next generation of ag leaders. Our Fruit and Vegetable Program developed a strong relationship with high schools in a couple of the country’s largest cities, allowing students to work with the agency while still enrolled in high school. We started in New York City, home of the Hunt’s Point Terminal Market – the nation’s largest wholesale produce market – so that students at John Bowne High School could get their feet wet in the agriculture industry. We did this by offering the students the opportunity to come on board as interns for our Specialty Crops Inspection Division (SCI). Employees in this division inspect produce entering and leaving Hunt’s Point, which employs more than 10,000 people and generates $2 billion in sales annually. Thanks to a budding relationship with this school featuring a strong ag curriculum, students can now get practical work experience while in school.  Lorenzo A. Tribbett, Agricultural Marketing Service Fruit and Vegetable Program Specialty Crops Inspection Division Director  Posted in  USDA Results  Conservation  Jul 02,   2 Responses",What program initiated by the USDA's Agricultural Marketing Service aims to introduce high school students to agricultural marketing opportunities and provide them with practical work experience in the industry?,"The Fruit and Vegetable Program initiated by the USDA's Agricultural Marketing Service offers high school students internships in their Specialty Crops Inspection Division, providing them with practical work experience in the agriculture industry."
"AMS Fruit and Vegetable Programs Deputy Administrator in  Food and Nutrition  Jul 19,   USDA’s Agricultural Marketing Service (AMS) recently became a participant in the American Association of People with Disabilities (AAPD) Internship Program, which brings students to Washington, DC, to gain valuable working experience.  This is the first year that our agency has participated in this program. AMS is utilizing our relationship with AAPD to create a more diverse workforce, one that includes more employees with disabilities.  We understand the importance of designing employment practices that consider the needs of all employees.  A diverse workforce introduces everyone to unique perspectives that ultimately help us find innovative approaches to solving problems and solidifying our business model.  This is one of the ways AMS can continue to provide services that benefit everyone in the greater public. This summer, Maya Ariel, an undergraduate student studying business administration at Rochester Institute of Technology, joined AMS as an intern for the agency’s Fruit and Vegetable Programs.  In her position, Maya, who is Deaf, helps Christopher Purdy, the program’s business development specialist, identify ways for AMS to partner with other organizations and market the program’s services.  By providing Maya with the accommodations she needs to be successful, AMS has gained a truly valuable team member. AMS values its partnerships with diverse organizations, such as AAPD, that enable us to identify, attract and recruit top-tier talent.  We encourage students to take advantage of the internship program so that they can become familiar with the agency and learn about other career opportunities. We support AAPD’s belief that people with disabilities are an important and intricate part of diversity in the workforce. AAPD recently came to USDA Headquarters to chronicle a day in the life of an intern.  Video footage of Ariel and the rest of the AAPD interns’ summer experiences will be available by visiting the AAPD Internship Program Web site in the early fall. Maya Ariel is an undergraduate student studying business administration at Rochester Institute of Technology, joined AMS as an intern for the agency’s Fruit and Vegetable Programs.   Category/Topic:  Food and Nutrition  Tags:  AAPD  American Association of People with Disabilities Internship Program  AMS  Fruit and Vegetable Program",What role does the American Association of People with Disabilities (AAPD) Internship Program play in promoting diversity in the workforce at USDA's Agricultural Marketing Service (AMS)?,"The American Association of People with Disabilities (AAPD) Internship Program plays a key role in promoting diversity in the workforce at USDA's Agricultural Marketing Service (AMS) by bringing students with disabilities to work at AMS, providing them with valuable working experience and accommodations, which helps create a more diverse workforce."
"In Mississippi, USDA Rural Development Brings Jobs to a Five-County Area  One of Mississippi’s largest USDA Rural Development awards was recently celebrated in Lowndes County, where local leaders expect the improvements made by this award to lead to hundreds of jobs. USDA Rural Development State Director Trina George was joined by U.S. Senator Roger Wicker and numerous state and local officials to commemorate a USDA Rural Development loan of $13 million to the Columbus-Lowndes County Development Link, which will help the entity expand the regional industrial park with a special focus on attracting aerospace industries. This award compliments a previous USDA Rural Development loan-grant combination of $17.5 million awarded last year to expand and improve the water and sewer infrastructure of the industrial park.  Ken Stribling, Mississippi PIC  Posted in  USDA Results  Rural  Jul 12,   Respond to this story","What specific improvements can local leaders in Lowndes County, Mississippi expect from the $13 million USDA Rural Development loan awarded to the Columbus-Lowndes County Development Link?",The $13 million USDA Rural Development loan will help expand the regional industrial park with a focus on attracting aerospace industries.
"Local Child Care Center Makes Nutritious Eating a Lifestyle  Providing children the nutritious food they need to learn, grow and thrive is critical to USDA’s mission. Last week, I had the chance to see first-hand how USDA helps make this happen during a visit to Tysons Corner Children’s Center in suburban Washington, D.C.  Brandon Lipps, Acting USDA Deputy Under Secretary for Food, Nutrition, and Consumer Services  Posted in  Food and Nutrition  Mar 28,   Respond to this story","What role does nutrition play in supporting children's learning, growth, and overall development?","Nutrition plays a critical role in supporting children's learning, growth, and overall development by providing them with the necessary fuel for their physical and mental well-being."
"USDA APHIS Public Affairs Specialist in  Animals  Technology  Mar 18,  The new Pests & Diseases web page provides easy access to information on APHIS’ pest and disease programs. Each year, the Animal and Plant Health Inspection Service (APHIS) must respond to new threats to America’s agricultural and natural resources often in the form of invasive species or emerging diseases. To raise awareness about these growing threats and our efforts to manage, monitor and regulate their impacts, we’ve launched the new Pests & Diseases web page. From the page, you can search by keywords (i.e., swine, chronic wasting disease, moth) or types (i.e., animal diseases, insects and mites, mollusks, nematodes, plant pests, wildlife program). You can also scroll through the 77 images of species and diseases of interest to APHIS. When you click on an image, you’re sent to more detailed information on that particular pest or disease. APHIS and its state and industry partners continue to fight to protect agriculture against so many different pests and diseases. The variety and impacts are constantly growing. This new web page will make it easier for people to find information and provides a one-stop shop for all of APHIS’ pest and disease programs. Whether it’s citrus greening, avian influenza, feral swine, Asian long-horned beetles or some other pest or disease that interests you, this web page will help you find and explore the most current news and information. To visit the page, go to www.aphis.usda.gov/pests-and-diseases or click the Pests and Diseases link under the Resources tab on the APHIS homepage.  Category/Topic:  Animals  Technology  Tags:  Animal and Plant Health Inspection Service  APHIS  invasive species  diseases  Animal Health  Plant Health",What feature does the new USDA APHIS Pests & Diseases web page allow users to search by?,"Users can search by keywords, such as ""swine"" or ""chronic wasting disease"", and also by types, such as ""animal diseases"", ""insects and mites"", etc."
"Milk Findings May Help Infants Worldwide  Today is World Milk Day! In America, the average consumption of milk is about 146 pounds per person per year according to from USDA’s Economic Research Service. Children account for a large portion of milk drinkers, particularly infants as milk is meant to be the sole source of nutrition for infants until age 6 months.  Janos Zempleni, Ph.D., Willa Cather Professor of Molecular Nutrition, Department of Nutrition and Health Sciences, University of Nebraska-Lincoln  Posted in  Research and Science  Jun 01,   Respond to this story","What are the implications of milk consumption on infant nutrition globally, as studied by researchers like Janos Zempleni in the field of molecular nutrition?","The findings on milk consumption may help inform optimal nutrition practices for infants worldwide, considering the unique nutritional needs of this age group."
"MBA, Lead Public Affairs Specialist, Food Safety and Inspection Service and Alexandra Day, Special Projects Coordinator, Center for Nutrition Policy and Promotion in  Health and Safety  Nov 08,  The USDA Food Safety and Inspection Service’s infographics are available at www.fsis.usda.gov/toolkits Last year, more than 46 million turkeys were carved and eaten at Thanksgiving. Turkey is typically accompanied by a host of side dishes and desserts, making the Thanksgiving meal by far one of the largest meals most people will cook this year. This year, USDA’s Food Safety and Inspection Service has created an online Thanksgiving toolkit, available at www.fsis.usda.gov/toolkits, with information you can use to promote a food-safe holiday meal. The toolkit offers those working in public health, agriculture and those that just want to educate their family and friends a one-stop shop for holiday food safety information. It provides articles on brining, stuffing turkeys, deep frying a turkey, properly storing leftovers and preparing a bacteria-free Thanksgiving. Videos on why it’s not safe to wash a turkey are also available along with radio interviews, consumer fact sheets and information on how to order free publications, including the Let’s Talk Turkey brochure. In case the holiday meal becomes overwhelming, USDA has a toll-free hotline open on Thanksgiving Day from 8 a.m. to 2 p.m. ET, with live food safety experts available to help in English and Spanish. Call the USDA Meat and Poultry Hotline at 1-888-MPHotline . The hotline is open regularly from 10 a.m. to 6 p.m. ET, Monday through Friday. Have questions about keeping leftovers safe? Check out our convenient FoodKeeper app. Available on Android and Apple devices, the app provides storage timelines for the refrigerator, freezer, and pantry, for more than 500 products, including various types of baby food, dairy products and eggs, meat, poultry, produce, and seafood. Users can view instructional videos on proper handling and storage of food and can also select to receive recall information. The app is available in English, Spanish, and Portuguese. Speaking of leftovers, you can find a variety of healthy, quick and affordable recipes on USDA’s What’s Cooking? USDA Mixing Bowl, at whatscooking.fns.usda.gov, to ensure your leftovers don’t go to waste. MyPlate’s Food 5 Ways infographics are a great way to teach kids about the five food groups. The protein foods infographic features leftover turkey in five different recipes. Find the 5 Ways infographics and more at www.choosemyplate.gov/resources/infographics. Though the holiday season can be a difficult time for maintaining healthy eating habits, MyPlate is here to help with a variety of free online resources, such as tip sheets, infographics, and more on www.ChooseMyPlate.gov. Be sure to follow @MyPlate on Facebook, Twitter, and Pinterest, and sign up for MyPlate email updates at ChooseMyPlate.gov/govdelivery. Turkey 5 Ways infographic, available at www.ChooseMyPlate.gov/infographics. Click to enlarge a larger version of the infographic.  Category/Topic:  Health and Safety  Tags:  Food Safety and Inspection Service  FSIS  Center for Nutrition Policy and Promotion  CNPP  Food Safety  turkey  choosemyplate.gov  MyPlate  Nutrition  food groups  Dietary for Americans  foodborne illness  Thanksgiving  Holidays","What online resource can be used to access information on how to promote a food-safe holiday meal, including articles and videos on topics such as deep frying a turkey, storing leftovers, and preparing a bacteria-free Thanksgiving?",The USDA's Food Safety and Inspection Service has created an online Thanksgiving toolkit available at www.fsis.usda.gov/toolkits.
"Make a Cafeteria Date to Eat a Healthy Lunch with Your Child at School  More than 50 million children around the country attend schools that participate in USDA’s National School Lunch Program and School Breakfast Programs.  And not only are their meals full of nutritious ingredients – with 99 percent of schools nationwide reporting that they are successfully meeting the updated nutrition standards – their entire learning environment fosters healthy habits now and throughout the rest of their lives.  During National School Lunch Week , USDA and partners like the Robert Wood Johnson Foundation, are celebrating this progress.  It’s National School Lunch Week and this year we have more to celebrate than ever before! Over the past decade, significant policy changes have sparked a national movement that has transformed the school nutrition landscape and created a new healthier era for school foods. Many of these policies were initiated by USDA, including updated nutrition standards for the meals and snacks schools offer, as well as updated requirements for local wellness policies. Thanks to these developments and incredible efforts by schools to put them in place, millions of students across America not only have healthier meals, snacks, and drinks at school – they’re also learning healthy habits that will last a lifetime.  Hans Billger, Public Affairs Specialist, Food and Nutrition Service  Posted in  Food and Nutrition  Oct 13,   1 Response","""What role do schools play in promoting healthier eating habits among children through their meal services and policies?""","Schools play a significant role in promoting healthier eating habits among children by providing nutritious meals and snacks that meet updated nutrition standards, as well as educating students about healthy habits through local wellness policies."
