content,question,answer
"Texas Colonias to get First Time Sewer Services Thanks to USDA  Written by Gayle Cargo, Public Information Coordinator Texas USDA Rural Development State Director, Paco Valentin, Pearsall Mayor Ray Martinez and other county officials celebrated Earth Day, April 22nd, with a $4,765,000 Water and Waste Disposal Loan and Grant funding presentation to the city of Pearsall.  Posted in  Rural  Apr 29,   Respond to this story","Here is a concise question related to the content: What funding was provided by the USDA for water and waste disposal services in Texas Colonias, specifically benefiting the city of Pearsall?","The USDA provided a $4,765,000 Water and Waste Disposal Loan and Grant to benefit the city of Pearsall."
"Office of Communication, US Forest Service in  Forestry  Nov 01,  Peaceful solace is offered along a lakeshore in the White Mountain National Forest in Maine. It would be difficult for a traveler not to find a site worthy of a great painting or a great photograph. USDA Photo by Bob Nichols. One of the best destinations to visit in New England is the White Mountain National Forest, with its campgrounds, hiking trails, scenic drives, beautiful landscapes and world renowned fall foliage. The forest has recently been adopted by the National Forest Foundation as one of its “Treasured Landscapes,” for its on-the-ground restoration needs due to damage from flooding, woody debris, sediment and erosion caused by Tropical Storm Irene in . In , the Foundation launched its Treasured Landscapes, Unforgettable Experiences campaign to focus on building public-private partnerships in support of large-scale forest and watershed restoration across America’s National Forest System and community engagement. This campaign is concentrated in 14 iconic sites from Alaska to Florida, with the White Mountain National Forest becoming one of the campaign’s newest sites this year. “This new partnership with the Foundation, allows us to continue ongoing watershed restoration, repair trails and bridge damage, and address any spread of invasive plan species caused by the storm” said White Mountain National Forest Supervisor Tom Wagner. Perhaps your next stop during the fall or winter season will be the White Mountain National Forest. Whether you’re a returning or first-time visitor, you must explore this “Treasured Landscape” in New England. NOTE: Recent weather events have impacted some national forests on the East Coast. Campgrounds, roads and trails may be closed because of the storm. Visitors are advised to call ahead to the local ranger district office to find out about forest openings and closures before setting out on a trip.  The National Forest Service has waived fees during the Veterans Day Holiday weekend. To learn more click here. Funding presented to kick off the campaign on the White Mountain National Forest by Bob Fries Waterville Valley Foundation and President of the Waterville Valley Ski Area; Mike Furgal, Treasurer Waterville Valley Foundation; Bill Possiel, President of National Forest Foundaton; Lori Harnois Director of New Hampshire Division of Travel and Tourism; Tom Wagner White Mountain National Forest Supervisor. PHOTO CREDIT: Edith Tucker, reporter, Coos County Democrat. Used with permission  Category/Topic:  Forestry  Tags:  fall   Forestry  FS  White Mountain National Forest","Here is a concise question related to the content: What is the main focus of the National Forest Foundation's ""Treasured Landscapes, Unforgettable Experiences"" campaign on the White Mountain National Forest?","The main focus of the National Forest Foundation's ""Treasured Landscapes, Unforgettable Experiences"" campaign on the White Mountain National Forest is to build public-private partnerships in support of large-scale forest and watershed restoration, as well as community engagement."
"Shawnee National Forest, U.S. Forest Service in  Forestry  Jan 31,  The Shawnee National Forest will offer a new school program this year called Naturalist in the Classroom. Youngsters will have an opportunity to enjoy the Shawnee National Forest, like the kids here at the Young Trekkers afterschool program. Photo used with permission. With declining budgets in the public school system, there has been a steady decrease in school fieldtrips in recent years. This plight further widens the disconnect between children and nature. To help bridge the gap between the schoolroom and the natural world, the Shawnee National Forest will offer a new school program this year called Naturalist in the Classroom.  The program will be piloted to third- through fifth-grade students in Union and Alexander counties located in southern Illinois, and will focus on two themes – forest ecology and wetland ecology. Forest Service employees will visit the classroom several times during the semester to cover topics, such as the role of water, the function of wetlands, forest functions, and tree identification, or subjects identified by the teacher.  Naturalist in the Classroom will culminate in a one-day field trip at a Forest Service site with Forest Service natural resource and conservation education professionals to show students how what they learned applies in the field and in national forest management. There will be hands-on activities and games from various national curriculums, such as Project Learning Tree, Project Aquatic Wild and WOW! Wonders of Wetlands will be used. Naturalist in the Classroom aims to strengthen and expand the Shawnee’s environmental education program, get kids outdoors, and assist local educators in meeting Illinois’ learning standards.  Schools benefitting from the program are located in areas with high unemployment and have some of the highest underserved populations in southern Illinois. “We are really excited about implementing this new program in local schools,” said Allen Nicholas, forest supervisor at Shawnee National Forest.  “There are so many barriers to getting children in the outdoors these days.  We hope the Naturalist in the Classroom project will be the bridge in getting kids into the outdoors, as well as connecting them to the expertise of our natural resource professionals.” The spring application deadline is Feb. 5; the fall application deadline is Sept. 5. The Shawnee National Forest will offer a new school program this year called Naturalist in the Classroom. Youngsters will have an opportunity to enjoy the Shawnee National Forest, like the kids here at the Young Trekkers afterschool program. Photo used with permission.  Category/Topic:  Forestry  Tags:  classroom  Conservation  ecology  Forestry  FS  Illinois  kids  natural resources  Shawnee National Forest",Here is a concise question that focuses on the key concepts: What initiative has been launched by the Shawnee National Forest to connect students from underserved populations with nature and promote environmental education in southern Illinois?,The Naturalist in the Classroom program.
"Stepping Outside the Classroom to Learn Lessons for Life  Stop by any trailhead or boat landing on a national forest or grassland and take a moment to ask folks to explain the origins of their love for the outdoors. You will likely hear people return time and again to some formative experience they had in grade school. For some, the smell of the pine brings them back to camping with a cub scout troop. For others, getting their hands dirty stirs memories of a favorite teacher’s class garden.  Korey Morgan, Office of Communication, USDA Forest Service  Posted in  Forestry  Dec 09,   1 Response",Here is a concise question related to the content: What role do formative outdoor experiences play in shaping people's lifelong love for nature?,"Formative outdoor experiences have a significant role in shaping people's lifelong love for nature, often recalling fond memories and sparking enthusiasm that can last a lifetime."
"USDA Borlaug Fellow Helps Farmers in His Native Country  Issah Sugri of Ghana is helping his nation feed itself and improve its farmers’ efficiency thanks to a U.S. Department of Agriculture (USDA) program. The Norman E. Borlaug International Agricultural Science and Technology Fellowship Program, funded by USDA’s Foreign Agricultural Service (FAS), is a six to 12 week training program that pairs up-and-coming researchers from selected countries with mentors from a U.S. land-grant institution or government agency. Sugri, one of 36 FAS Borlaug Fellows in , was assigned to the University of Florida with the specific goal of reducing post-harvest losses of tomatoes by better understanding climate-relevant, low-tech methods of extending shelf life of fresh fruits and vegetables. When he returned to Ghana, Sugri put his fellowship training to immediate use. Collaborating with fellow researchers at the Council for Scientific and Industrial Research – Savannah Agricultural Research Institute (CSIR-SARI), based in Bawku, Ghana, he published fact sheets for local farmers describing optimal harvest and storage conditions. Sugri even included his mobile phone number so he could accept field questions and provide clarification.  He also worked with extension agents to train producers on post-harvest loss avoidance techniques and their economic benefits. At Sugri’s urging, SARI hired a dedicated food scientist to focus additional research on the topic.  Jim Suits, International Program Specialist, Foreign Agricultural Service Office of Capacity Building and Development  Posted in  Trade  Sep 15,   Respond to this story",What specific steps did Issah Sugri take after returning to Ghana as a Borlaug Fellow to apply his training and reduce post-harvest losses of tomatoes among local farmers?,"Issah Sugri published fact sheets for local farmers on optimal harvest and storage conditions, provided field guidance and clarification through his mobile phone number, worked with extension agents to train producers on post-harvest loss avoidance techniques, and encouraged SARI to hire a dedicated food scientist to focus research on the topic."
"Age is Just a Number for 100-Year-old Farmer  Ms. Annie Faye Woodson has been directly involved in farming and ranching in Texas for the last 76 years. At 100 years-old she stays up-to-date on Farm Service Agency (FSA) program news and still makes trips to the Fannin County FSA office to sign up for farm programs and to certify acres.  It is no surprise that Woodson has seen many changes throughout her life on the farm. ""I rode in a wagon, buggy and tractor,"" said Woodson. ""Technology is the biggest change I've seen in my lifetime.""  Cassie Bable, Texas Public Affairs Specialist – USDA Farm Service Agency  Posted in  Conservation  Rural  Apr 12,   18 Responses","What changes has Ms. Annie Faye Woodson witnessed throughout her life on the farm, particularly with regards to farming technology?","Ms. Annie Faye Woodson has witnessed significant changes in farming technology, specifically the transition from riding in a wagon and buggy to using tractors. She considers technology as the ""biggest change"" she has seen in her lifetime."
"Reminder: The Deadline for Supplemental Revenue Assistance Payments Applications is Approaching  Farmer and ranchers applying for assistance for crop losses under the Supplemental Revenue Assistance Payments (SURE) program have until July 29 to submit an application. SURE provides crop disaster assistance to eligible producers that have suffered crop production or quality losses. Producers must have suffered at least a 10 percent loss on a crop of economic significance and obtained a policy or plan of insurance under the Federal Crop Insurance Act or the Noninsured Crop Disaster Assistance Program.  Tanya Brown, Farm Service Agency Public Information Officer  Posted in  Rural  Jul 05,   Respond to this story",What is the deadline for Supplemental Revenue Assistance Payments (SURE) applications for crop disaster assistance?,July 29.
"Water Quality Trading Program Awarded For Innovation  When USDA’s Natural Resources Conservation Service (NRCS) awarded a Conservation Innovation Grant to the Electric Power Research Institute (EPRI) in , the notion of administering the nation’s largest water quality trading program in the Ohio River Basin was a twinkle in the eye of EPRI scientist Jessica Fox. Fast forward to —the multi-state water-trading program is a reality, and the Institute was one of three entities to be awarded this year’s Water Prize by the U.S. Water Alliance.  Kari Cohen, Natural Resources Conservation Service  Posted in  Conservation  Apr 17,   Respond to this story",Here's a concise question based on the content: What innovation led EPRI scientist Jessica Fox to develop the nation's largest water quality trading program in the Ohio River Basin?,The answer is: A Conservation Innovation Grant from USDA's NRCS.
"Public Affairs Specialist, USDA Agricultural Research Service Information Staff. in  Research and Science  Jul 06,  (Left to right) Pennsylvania State University agricultural engineer Michael Hile, ARS agricultural engineer Al Rotz and ARS research associate Felipe Montes use a dynamic flux chamber to measure the emission rates of gaseous compounds from manure on a dairy barn floor. ARS photo  This post is part of the Science Tuesday feature series on the USDA blog. Check back each week as we showcase stories and news from the USDA’s rich science and research portfolio. News by USDA’s Agricultural Research Service (ARS) indicates that moving dairy cows out of climate-controlled barns and onto the land may help to lessen the ecological impact of dairy farming without any corresponding loss of production. A team of ARS scientists in University Park, Pa., conducted a modeling study that evaluated how different management systems on a typical 250-acre Pennsylvania dairy farm would affect the environment.  The scientists collected a range of field and input it into their model to evaluate the environmental dynamics of four different dairy farms in all types of weather over 25 years. All four systems were set to produce the same amount of milk, adjusting for fat and protein, on the same land.  The model generated estimates for ammonia emissions from manure, impact on the soil including erosion and leaching of nitrates, and phosphorus losses from field runoff. Total emissions for the greenhouse gases methane, nitrous oxide, and carbon dioxide were 8 percent lower in year-round outdoor production than with cows tucked away in the barn.  Keeping dairy cows outdoors all year reduced the dairy operation’s ammonia emissions by about 30 percent. While barn-bound cows were estimated to each produce 22,000 pounds of milk per year, compared to only 13,000 pounds per foraging cow, the total amount of milk protein and fat produced was essentially the same.  That’s because the foraging cows produced milk that contained more fat and protein.  Category/Topic:  Research and Science  Tags:  ARS  Pennsylvania  Pennsylvania State University  Science Tuesday","Here is a concise question related to the content: What are the estimated emissions benefits of moving dairy cows from climate-controlled barns to outdoor grazing, according to a USDA Agricultural Research Service study?","According to the study, total greenhouse gas emissions (methane, nitrous oxide, and carbon dioxide) were estimated to be 8% lower in year-round outdoor production compared to keeping cows in barns. Additionally, ammonia emissions from manure were reduced by about 30%."
"Feed the Future: Together We Can  This week, USDA was honored to join forces with USAID and Islamic Relief USA to host the department’s 4th annual Iftar celebration. The event welcomed over 170 guests, including representatives from humanitarian organizations, faith-based groups and federal employees.  This year’s Iftar called attention to the importance of reducing food insecurity abroad with the theme “Feed the Future: Together We Can.” Iftar is an evening gathering held each year during Ramadan.  A time of spiritual cleansing in the Islamic faith, Ramadan is when Muslims fast, abstaining from food and water from sunrise until sunset. Iftar is the meal at which Muslims break their fast each night. For many Muslims, fasting is an act of empathy towards those around the world who go hungry not by choice, but instead by circumstance.  Norah Deluhery, Acting Director, USDA Center for Faith-Based and Neighborhood Partnerships and Yaseen Eldik, Truman Summer Institute Fellow, USDA Center for Faith-Based and Neighborhood Partnerships  Posted in  Food and Nutrition  Trade  Aug 09,   Respond to this story",Here is a concise question related to the content: How do faith-based organizations like Islamic Relief USA work together with government agencies like USDA during Ramadan to address food insecurity abroad?,"Faith-based organizations like Islamic Relief USA collaborate with government agencies like USDA by hosting events such as Iftar celebrations, which bring attention to reducing food insecurity abroad and promote joint efforts to address the issue."
