content,question,answer
"Know Your Sooner, Know Your Food  Larry Wright leaned to his right and said, “I just realized that when I was up there introducing the conference, I forgot to tell everyone who I was.”Larry is the Oklahoma area coordinator for the Great Plains Resource Conservation and Development’s (RC&D) and worked tirelessly for five months planning a conference that would help build the rural communities his council serves.  After his first Know Your Farmer, Know Your Food Conference and Gala more than 250 attendees know exactly what Larry does, and will be telling their friends about him, too.  Crystal Young, Public Affairs Specialist, NRCS  Posted in  Conservation  Food and Nutrition  Farming  Sep 23,   Respond to this story",What are some effective strategies for building rural communities through food conferences?,"* Hosting events that bring together a diverse group of attendees from the local area * Incorporating interactive and engaging elements into the conference, such as panel discussions, workshops, and networking opportunities * Highlighting local farmers and producers to showcase their products and expertise * Fostering collaboration among community members, organizations, and government agencies to leverage resources and support for rural communities * Providing educational content on topics related to food systems, sustainability, and nutrition to promote awareness and understanding of these issues."
"Initiatives  Aug 11,   The Obama administration has called on Americans from all backgrounds and walks of life to work to improve their communities as part of the United We Serve project. Here at USDA, many of our more than 100,000 employees are doing their part. They are driven to serve, and proud to identify ways to use their skills to support their own communities. Here's some work two USDA employees are doing to improve the health of their communities: Horseback riding for people with special needs — Mike (Annandale, VA) Mike and his family have long been involved with the equestrian sport of vaulting (gymnastics on horseback). Over the past year they have hosted a regular outing for special needs children and adults from their church, giving each an opportunity to ride a horse and to learn the freedom of movement and confidence the experience brings. Nothing can compare with the sheer pleasure of seeing these individuals, often initially nervous and scared, beaming as they ride triumphantly...and often for the first time in their lives. Perhaps the most meaningful experience was last October when, during local pony rides Mike was helping with, he saw a mother with an infant whose many tubes and blank stare evidenced the severity of his condition. He asked the mother if her baby wanted a chance to ride and he was soon up on a horse in the secure arms of an experienced rider. After a 5-minute ride his mother thanked Mike and later told him that her baby was normally mostly uncommunicative, but that after riding he seemed to be alert and aware for days! Raising money for a cure — Nancy (Steele, ND) Nancy coordinated the local USDA Service Center’s team for the American Cancer Society’s ""Relay for Life"" fundraiser in Steele, North Dakota. They named their group ""Team USDA"" and over a few short months raised over $. ""Team USDA"" was the top fundraising team from within the 23 teams that participated. Some of the ways they raised funds were by serving dinners for local events, selling sweets and treats, and family and friends making donations. The 23 teams for this event raised over $40,000. It was a great success and they plan to participate again next year.  Category/Topic:  Initiatives  Tags:  American Cancer Society  health  Horseback riding  President Obama  Relay for Life  United We Serve  volunteers","What innovative ways are USDA employees, like Mike and Nancy, using their skills to support their communities?","USDA employees, such as Mike and Nancy, are using their skills in creative ways to support their communities, including hosting horseback riding sessions for people with special needs and raising money for a cure through events like the American Cancer Society's ""Relay for Life"" fundraiser."
"Agricultural Statistician, National Agricultural Statistics Service in  Research and Science  Dec 27,  Make sure these “good luck” foods and all food count. Be a part of the Census of Agriculture. The Census is a complete count of U.S. farms and ranches and the people who operate them. The holidays are often a time for family, fun, and food. New Year’s is no exception. One thing many nations around the world have in common is the belief that eating certain foods on New Year’s will bring good luck and prosperity in the 12 months to follow. One New Year’s tradition the South is especially known for is eating black-eyed peas and collard greens. It is believed that a meal with black-eyed peas and collards symbolizes humility and a new year full of coins and “green” (money). Lentils are another popular legume on New Year’s for the same reason. How do our farmers contribute to this traditional fare? According to the Census of Agriculture, our nation’s 1,407 collard operations harvested 12,542 acres. North Carolina ranked first for number of farms , but Georgia led in collard acreage . The for collards are only available every five years in the Census of Agriculture, and it’s that time again. Census questionnaires have been mailed to farmers and ranchers across the nation. By participating in the Census of Agriculture, producers can influence decisions that will shape the future of American agriculture.  In , California ranked first in black-eyed pea production, accounting for 31.9 million of the 57.2 million pounds produced nationally. Texas ranked first in harvested acres, with 23,000 of the nation’s 35,300 total harvested acres of black-eyed peas. In the same year, farmers produced 1.3 billion pounds of lentils on 908,000 harvested acres. Montana ranked first in lentil production, with more than 737 million pounds. Pork is another popular New Year’s tradition. In various cultures, pigs are perceived as representing progress because they look and root forward. In , U.S. farmers produced more than 35 billion pounds of pork, with Iowa, at more than 12 billion pounds, accounting for almost a third of U.S. production. According to the Census of Agriculture, there were 63,246 hog operations across the country. Iowa led the nation with 6,266 operations. What will the Census of Agriculture tell us? A fun New Year’s tradition is trying to eat 12 grapes at midnight. Some believe that each chime of the clock represents a month of the year and that the reveler must eat one grape with each chime for 12 months of good luck. Some even say you should make a wish with each grape. According to the Census of Agriculture, our nation had 23,420 grape bearing operations and more than 1 million bearing acres. In , the United States produced 7.7 million tons of grapes, of which about 1 million were utilized as fresh grapes. California is consistently first in grape production. The census will provide additional information on number of grape operations and acres. Across the United States and around the world, people incorporate a variety of other New Year’s food traditions, including eating noodles to symbolize a long life, ring-shaped cakes to represent the year coming full circle, and many more. Wishing everyone a very happy New Year! For more information about the Census of Agriculture or to respond online, visit agcensus.usda.gov.  Category/Topic:  Research and Science  Tags:  NASS  USDA Agricultural Census  new year  Food Traditions","What popular legume, in addition to black-eyed peas and collard greens, is often eaten on New Year's Day as it symbolizes humility and is believed to bring good luck?",Lentils.
"USDA Housing Funds to Benefit Residents of an Arizona Town  Somerton, Arizona, is a great example of how USDA Rural Development programs can help bolster a small rural community by touching so many aspects of not only the rural economy but the diverse and vibrant rural people who make it work.  Dianna Jennings, Arizona USDA Rural Development Special Projects Coordinator  Posted in  Rural  Oct 29,   Respond to this story","How are USDA housing funds expected to positively impact the small rural community of Somerton, Arizona?","USDA housing funds are expected to bolster the small rural community of Somerton, Arizona by improving various aspects of the economy and the lives of its residents."
"USDA Rural Development in  Rural  Jan 11,   Reducing rental housing operating expenses, preserving the environment and promoting local energy sources is a priority for USDA Rural Development, demonstrated by green-energy initiatives like the Rural Energy for America Program (REAP) and the Business and Industry Guaranteed Loan Program. Rural Development is now offering the Multi-Family Housing Energy Efficiency Initiative as part of the existing application process for Section 515 Rural Rental Housing Program for New Construction, Section 514 Farm Labor Housing Loans and Section 516 Farm Labor Housing Grants for Off-Farm Housing, Section 522 Housing Preservation Grants, and Sections 514, 515 and 516 Multi-Family Housing Revitalization Demonstration Programs.  This new initiative aims to promote development projects that make an effort to reduce energy use, reduce energy from the energy grid supply, have little or no net emission of greenhouse gasses, and are economically viable. The Energy Efficiency Initiative focuses on three areas: energy conservation, energy generation, and green property management.  Points are given to applicants for energy efficiency certifications, use of energy efficient building materials and design strategies, generation of energy on site, and commitments to energy efficient post-construction operation and maintenance.  Through administration of this initiative combined with existing Rural Development programs, USDA hopes to reduce the need for outside energy sources, reduce energy costs, promote the economy, and ultimately secure a better environment for future generations. Several green energy projects funded by  Rural Development are already experiencing the many benefits of conserving energy.  In Kings County, NJ USDA-RD provided a Section 515 loan and Section 538 Guaranteed Rural Rental Housing Program (GRRHP) loan to aid in the construction of 57 rental units for low-income residents.  The construction development, called Montgomery Crossing, employs a 28.1 kWh photovoltaic system, saving over 25 percent of annual electricity costs.  The development also features insulated vinyl siding, water-efficient fixtures, and landscaping plants with low water needs.  Other successful green projects include the Rancho Lindo Apartments development in Kern County, CA and the Harvest Point Apartments in Salem, NJ. For more information on the USDA Rural Development Multi-Family Housing Energy Efficiency Initiative and the programs under which it operates, please contact your state office.  Click here for a link to state offices. Please see the most current NOFA for a detailed review of application and project requirements. Click here to visit the NOFA page.  Category/Topic:  Rural  Tags:  Business and Industry Guaranteed Loan Program  REAP  Rural Development","What specific energy-saving feature was implemented in the Montgomery Crossing development in Kings County, NJ, which resulted in saving over 25% of annual electricity costs?","The specific energy-saving feature implemented in the Montgomery Crossing development in Kings County, NJ was a 28.1 kWh photovoltaic system."
"Helping Tribal College Students Excel in STEM  It’s shaping up to be a good year for students in Indian Country. For the first time in school history, students at Saginaw Chippewa Tribal College in Mount Pleasant, Michigan can register to take physics thanks to an upgraded laboratory. And at Leech Lake Tribal College in Cass Lake, Minnesota, students were able to take trigonometry for the first time last year.  Funded and supported by USDA’s National Institute of Food and Agriculture (NIFA ), both schools made  improvements to bolster their students’ learning in the areas of science and mathematics. NIFA’s Tribal Colleges Education Equity Grant is a noncompetitive program that enhances educational opportunities for American Indians in the food and agricultural sciences.  These grants strengthen formal educational opportunities at the associate, baccalaureate, or graduate level at land-grant institutions, also known as tribal colleges.  Jill Lee, National Institute of Food and Agriculture  Posted in  Research and Science  Oct 11,   Respond to this story",What is the main purpose of USDA's National Institute of Food and Agriculture (NIFA) grants for Tribal Colleges?,The main purpose of USDA's National Institute of Food and Agriculture (NIFA) grants for Tribal Colleges is to enhance educational opportunities for American Indians in the food and agricultural sciences.
"Forest Service Hosts Two-Day National Science Forum to Discuss Planning Rule  The Forest Service is collaboratively developing a new planning rule for the National Forest System that will be rooted in science. The collaborative dialog really opened up March 29-30 in Washington DC at the National Science Forum. Agriculture Secretary Tom Vilsack visited the Forum in demonstration of his support of a new planning rule that embraces participation and is science-based.  Posted in  Research and Science  Apr 02,   Respond to this story",What role did Agriculture Secretary Tom Vilsack play in demonstrating support for the collaborative development of a new Forest Service planning rule at the National Science Forum?,"Agriculture Secretary Tom Vilsack visited the National Science Forum to demonstrate his support for the new planning rule, which is being collaboratively developed with participation and rooted in science."
"US Forest Service Office of Communication in  Forestry  Mar 02,  The legacy of the Weeks Act is shown by looking at photos of the White Mountain National Forest a century apart. Nearly a 100 years later after being decimated by logging, this photo depicts a healthy restored forest at the same location.  The Weeks Act, which went into effect on March 1, , has been identified as one of the most important pieces of environmental legislation in American history. In the early s the public began to embrace a more proactive attitude toward conserving public lands. Just the year before, in , Gifford Pinchot started the Forest Service. Before the Weeks Act, lands set aside for conservation were all located in the West and were created from large blocks of land in the public domain. Millions of acres of bare, eroded lands dotted the Eastern states from cut-over and farmed-out lands. In the West, the epic wildfires of fueled support for the Act. The most poignant element of the Act was that it gave the federal government authority to buy private lands in the East to establish publicly-owned forests. This provided both immediate and long-term benefits: the immediate protection of eastern watersheds from further development; the creation of a long-term effort to restore forests on public lands; and the beginning of new federal-state cooperative partnership responsibilities to protect these lands from intense and damaging wildfires. The Act’s natural resource conservation success has been profound: it designated 52 national forests in 26 Eastern states and mandated conservation ethics on some 20 million acres of national forests and grasslands across 41 states and Puerto Rico. Today, 80% of the 155 national forests are comprised of lands acquired through the Weeks Act, sustainably managed for a wide variety of conservation purposes. The impact of the Weeks Act is still strong today. America relies on the treasures their forests provide, including clean water, wildlife habitat, recreation, forest products, and a wide range of goods and services. The conservation successes of historic partnerships that created many of our beautiful national forests are an integral part of how the Forest Service continues to do business. The Act has a rich legacy, and the Forest Service remains committed to the tenets of its conservation core and values. The results of the Act support local economies and communities and broad tourism and recreation business sectors, and will extend our natural resource heritage far into the next 100 years. Agriculture Secretary Tom Vilsack signs the centennial of the ""Week's Act Proclamation."" Behind Secretary Vilsack from the left are: Harris Sherman, Undersecretary, National Resources and Environment, Congressman Jim Moran, Virginia and Tom Tidwell, Chief, National Forest Service. USDA Photo by Bob Nichols. The legacy of the Weeks Act is shown in photos showing the same landscape on the White Mountain National Forest but a century apart. This photo was taken in and shows a logged-over hillside.   Category/Topic:  Forestry  Tags:  FS  Gifford Pinchot  Harris Sherman  Jim Moran  NRE  Tom Tidwell  Weeks Act","What legislation, signed into effect in March 1908, has been identified as one of the most important pieces of environmental legislation in American history and led to the conservation of millions of acres of public lands?",The Weeks Act.
"National Institute of Food and Agriculture in  Initiatives  Food and Nutrition  Apr 10,  EFNEP provides food and nutrition information to limited-resource families, including how to understand the nutrition information provided on food labels. (iStock image) Educators from all 50 states, the District of Columbia, and five U.S. territories recently met in Arlington, Virginia to discuss local implementation of the Expanded Food and Nutrition Education Program (EFNEP), one of the nation’s largest nutrition education programs. Through nutrition education, EFNEP helps limited-resource families and children gain the knowledge and skills to change their current attitudes and behaviors when it comes to choosing nutritionally sound diets and improve their health and well-being.  USDA’s National Institute of Food and Agriculture (NIFA) administers EFNEP and provides national program leadership. “The EFNEP Conference brought together about 170 representatives from and land-grant universities (LGUs) to coordinate, collaborate, and receive training that they can take back and implement in their respective university programs,” said Stephanie Blake, NIFA EFNEP program coordinator. Conference agenda items included an update on changes to packaged food nutrition labels, youth participant evaluation forms, a new adult behavior checklist, and an Internet tool used for EFNEP evaluation and reporting called the Web-Based Nutrition Education Evaluation and Reporting System.  EFNEP coordinators also shared ideas and resources through breakout session presentations and poster exhibits. EFNEP has assisted more than 32 million families and youth since the program’s inception in .  Last year, EFNEP reached nearly 122,000 adults and 400,000 children directly and about 360,000 family members indirectly.  Among the results listed in EFNEP’s Impacts Report, 94 percent of adult participants reported improved diets, 86 percent of youth participants reported an increased ability to choose healthy food, and 84 percent of adults reported being better able to manage food resources. “EFNEP is about reducing health disparities of some this nation’s most vulnerable audiences through hands-on learning experiences and interactive nutrition education,” said Helen Chipman, NIFA national program leader for food and nutrition education.  “This annual meeting, combined with other cooperative state and federal efforts, improves EFNEP’s ability to promote nutritional health and well-being among low-income families and children.” While LGUs manage state EFNEP programs, local educators run them at the county level.  “Our educators are so successful because they are members of the communities they support and dedicated to reaching diverse, low-income populations,” Blake said. Contact your local Cooperative Extension office for more EFNEP information. Through federal funding and leadership for research, education, and extension programs, NIFA focuses on investing in science and solving critical issues impacting people's daily lives and the nation's future. For more information, visit www.nifa.usda.gov.  Category/Topic:  Initiatives  Food and Nutrition  Tags:  children  Cooperative Extension  EFNEP  Expanded Food and Nutrition Education Program  family  Food and Nutrition  Land Grant universities  NIFA  Nutrition  Nutrition Education  Virginia  Washington DC","What role do local educators play in implementing the Expanded Food and Nutrition Education Program (EFNEP) at the county level, with guidance from land-grant universities?","Local educators run EFNEP programs at the county level, managing them under the guidance of land-grant universities."
"Agricultural Research Service in  Research and Science  Oct 31,  A wasp works its way out of an aphid mummy after developing inside as larvae. (Photo courtesy of the ARS Electron and Confocal Microscopy Unit) At Halloween, people revel in ghosts, goblins, and things that go bump in the night. Not all are in books or movies, though. There are plenty of creepy critters doing downright scary things every day in your own backyard. That’s not necessarily a bad thing, since many of these “monsters” are actually good guys getting the bad guys out of town; it’s just not always pleasant to watch. Fire ants are common in subtropical Southeastern states and have shown up as far west as California. These stinging ants are not just painful pests; they’re also a bane to agriculture, feeding on young plants and seeds, causing an estimated crop loss of $750 million per year. There are many ways to control or eliminate fire ants, but nature provides one that is tailor made for the silver screen! Enter the phorid fly, a natural predator of the fire ant. The fly swoops in on its target and deposits an egg into the ant. After hatching inside the ant, the maggot works its way into the ant’s head, where it lives for a couple of weeks, feeding on bodily fluids. The maggot then releases chemicals that eat away at the ant’s body until its head falls off. The maggot then stays in the severed head and feeds on brains until it reaches maturity and breaks out through the ant’s mouth. Like zombies? You will, if you don’t like cockroaches. The jewel wasp injects a serum into its victim, which “zombifies” the roach into submitting to its will. The passive zombie roach allows the wasp to lead it by an antenna into a nest, which quickly becomes a nursery after the wasp lays its egg. As with the phorid fly larvae, it feeds off its host until it reaches maturity. Mummies also abound in gardens and fields, courtesy of a pair of wasps. These wasps (Aphidiinae braconid wasps – pictured – and Pteromalid chaclid wasps) also deposit an egg inside the body of their prey, this time an aphid. The wasp larvae grow inside the aphid, which soon becomes mummified in that it turns inflated, rigid, and off-color. After the larva becomes an adult wasp, it chews its way out, leaving the mummy husk behind. “Husks are fun to collect and are routinely encountered in gardens,” said Matt Buffington, a research scientist with the Agricultural Research Service’s Systematic Entomology Laboratory, in Beltsville, Maryland. “In fact, if you have them, it’s a good sign your aphid problems are being somewhat controlled.” Aphids are a scourge to crops and horticulture, where they suck on sap, which causes yellowing, stunting, distortion of plant parts, leaf mold, and, in cotton, poor fiber quality. Aphids can also transmit plant viruses. Not to be outdone, some bees (Trigona hypogea) make an appearance as scavenger vampires. “Instead of providing their young with protein from pollen, vampire bees gather protein from carcasses on the forest floor,” Buffington said. “Further, they have unique jaws for tearing into dead animal flesh and cutting it into pieces for transport and digestion.” There are plenty of other examples of insects that exemplify Halloween, but one of the spookiest is actually a mammal – the humble bat. If you can get past the vampire nature of some bats, you’ll find that many species of bats are great friends of plants; they pollinate, spread seeds, and feed on pesky bugs. So, on All Hallows’ Eve, as you’re greeting young ghosts and goblins doing their rounds of trick-or-treating, don’t forget about those beneficial creepy critters in your own backyard.  Category/Topic:  Research and Science  Tags:  Agricultural Research Service  ARS  Halloween  nature  fire ants  aphids  wasps  Bees","""What is unique about the way that some wasps, such as Aphidiinae braconid wasps, interact with their prey, the aphid?""","Some wasps, such as Aphidiinae braconid wasps, lay an egg inside the body of an aphid. The resulting larva grows and develops within the aphid's body until it becomes an adult wasp, at which point it chews its way out of the aphid's body, leaving behind a mummified husk."
